gene.ensembl	gene.sym
ENSMUSG00000086112	4930563I02Rik
ENSMUSG00000050702	4930563M21Rik
ENSMUSG00000051788	4930564D02Rik
ENSMUSG00000073141	4930567H17Rik
ENSMUSG00000026882	4930568D16Rik
ENSMUSG00000069720	4930572O03Rik
ENSMUSG00000037358	4930578C19Rik
ENSMUSG00000054885	4930578G10Rik
ENSMUSG00000021961	4930578I06Rik
ENSMUSG00000012042	4930579F01Rik
ENSMUSG00000027811	4930579G24Rik
ENSMUSG00000024088	4930583I09Rik
ENSMUSG00000034063	4930590J08Rik
ENSMUSG00000083193	4930595D18Rik
ENSMUSG00000060673	4930595M18Rik
ENSMUSG00000041068	4930596D02Rik
ENSMUSG00000031194	4931400O07Rik
ENSMUSG00000013353	4931406B18Rik
ENSMUSG00000031938	4931406C07Rik
ENSMUSG00000066571	4931406P16Rik
ENSMUSG00000073722	4931408C20Rik
ENSMUSG00000038199	4931409K22Rik
ENSMUSG00000022179	4931414P19Rik
ENSMUSG00000056197	4931417E11Rik
ENSMUSG00000046085	4931422A03Rik
ENSMUSG00000026774	4931423N10Rik
ENSMUSG00000014837	4931428F04Rik
ENSMUSG00000086727	4931428L18Rik
ENSMUSG00000056617	4931429L15Rik
NA	4931431F19Rik
ENSMUSG00000078157	4931440F15Rik
ENSMUSG00000074580	4931440P22Rik
NA	4932411E22Rik
ENSMUSG00000058670	4932411N23Rik
ENSMUSG00000079324	4932414N04Rik
ENSMUSG00000044581	4932415D10Rik
ENSMUSG00000069925	4932416K20Rik
ENSMUSG00000079513	4932429P05Rik
ENSMUSG00000074224	4932431P20Rik
ENSMUSG00000037270	4932438A13Rik
ENSMUSG00000039851	4932438H23Rik
NA	4932443I19Rik
ENSMUSG00000055357	4933400A11Rik
ENSMUSG00000055700	4933401B06Rik
ENSMUSG00000025961	4933402D24Rik
ENSMUSG00000045330	4933402E13Rik
ENSMUSG00000069971	4933402J07Rik
ENSMUSG00000013668	4933402N03Rik
ENSMUSG00000067848	4933402N22Rik
NA	4933402P03Rik
ENSMUSG00000079460	4933403O08Rik
ENSMUSG00000013158	4933405L10Rik
ENSMUSG00000084234	4933405O20Rik
NA	4933406J08Rik
ENSMUSG00000050526	4933406M09Rik
ENSMUSG00000069713	4933406P04Rik
ENSMUSG00000026224	4933407L21Rik
ENSMUSG00000049357	4933408B17Rik
ENSMUSG00000097407	4933408J17Rik
ENSMUSG00000053896	4933409G03Rik
ENSMUSG00000062224	4933411G06Rik
ENSMUSG00000090369	4933411K16Rik
ENSMUSG00000043623	4933412A08Rik
ENSMUSG00000071749	4933412E24Rik
NA	4933413G19Rik
ENSMUSG00000072983	4933414I15Rik
ENSMUSG00000045877	4933415A04Rik
ENSMUSG00000073730	4933415F23Rik
ENSMUSG00000074734	4933416C03Rik
ENSMUSG00000086996	4933416E14Rik
ENSMUSG00000071763	4933416I08Rik
ENSMUSG00000021415	4933417A18Rik
ENSMUSG00000106572	4933417G07Rik
ENSMUSG00000030463	4933421I07Rik
ENSMUSG00000102416	4933424G06Rik
ENSMUSG00000021718	4933425L06Rik
ENSMUSG00000020807	4933427D14Rik
NA	4933427G17Rik
ENSMUSG00000086697	4933427G23Rik
ENSMUSG00000073761	4933427I04Rik
ENSMUSG00000047988	4933428G20Rik
ENSMUSG00000042525	4933428M09Rik
ENSMUSG00000058046	4933430I17Rik
ENSMUSG00000027942	4933434E20Rik
ENSMUSG00000025288	4933436I01Rik
ENSMUSG00000051940	5031410I06Rik
NA	5031414D18Rik
ENSMUSG00000036046	5031439G07Rik
ENSMUSG00000102185	5033404E19Rik
ENSMUSG00000081618	5033423K11Rik
ENSMUSG00000040412	5330417C22Rik
ENSMUSG00000049740	5330417H12Rik
ENSMUSG00000052291	5330438D12Rik
ENSMUSG00000094113	5430401F13Rik
ENSMUSG00000044121	5430402E10Rik
ENSMUSG00000072763	5430403G16Rik
NA	5430416O09Rik
ENSMUSG00000006204	5430419D17Rik
ENSMUSG00000025058	5430427O19Rik
ENSMUSG00000055594	5530400C23Rik
ENSMUSG00000020703	5530401A14Rik
ENSMUSG00000073755	5730409E04Rik
ENSMUSG00000081793	5730416F02Rik
ENSMUSG00000057181	5730455P16Rik
ENSMUSG00000029089	5730480H06Rik
ENSMUSG00000073197	5730507C01Rik
NA	5730508B09Rik
ENSMUSG00000032985	5730522E02Rik
NA	5730559C18Rik
ENSMUSG00000056468	5730596B20Rik
ENSMUSG00000054672	5830411N06Rik
ENSMUSG00000078684	5830417I10Rik
ENSMUSG00000052658	5830454E08Rik
ENSMUSG00000070690	5830473C10Rik
ENSMUSG00000048544	5930422O12Rik
ENSMUSG00000066607	6030419C18Rik
ENSMUSG00000066178	6030445D17Rik
ENSMUSG00000054069	6030452D12Rik
ENSMUSG00000022195	6030458C11Rik
ENSMUSG00000025573	6030468B19Rik
ENSMUSG00000095953	6030469F06Rik
ENSMUSG00000051361	6030498E09Rik
NA	6330403A02Rik
NA	6330408A02Rik
ENSMUSG00000009551	6330409D20Rik
NA	6330416G13Rik
ENSMUSG00000045327	6330549D23Rik
ENSMUSG00000073795	6430531B16Rik
ENSMUSG00000031824	6430548M08Rik
ENSMUSG00000074646	6430550D23Rik
ENSMUSG00000037977	6430571L13Rik
NA	6430573F11Rik
ENSMUSG00000034185	6430628N08Rik
ENSMUSG00000072066	6720489N17Rik
ENSMUSG00000032680	6820408C15Rik
ENSMUSG00000071796	6820431F20Rik
ENSMUSG00000074123	7420426K07Rik
NA	7420461P10Rik
ENSMUSG00000096607	7530416G11Rik
ENSMUSG00000103441	7530428D23Rik
ENSMUSG00000027444	8030411F24Rik
