,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.0.8,seurat_clusters,pANN_0.25_0.09_205,DF.classifications_0.25_0.09_205,DF.classifications_0.25_0.09_179,pANN_0.25_0.09_149,DF.classifications_0.25_0.09_149,DF.classifications_0.25_0.09_130
Cell_1553,Cell,2489,1015,1,1,0.11280487804878,Singlet,Singlet,0.11280487804878,Singlet,Singlet
Cell_1554,Cell,1412,650,2,2,0.109756097560976,Singlet,Singlet,0.109756097560976,Singlet,Singlet
Cell_1555,Cell,2454,981,0,0,0.231707317073171,Singlet,Singlet,0.231707317073171,Singlet,Singlet
Cell_1556,Cell,4156,1342,5,5,0.25609756097561,Singlet,Singlet,0.25609756097561,Singlet,Singlet
Cell_1557,Cell,2819,1076,0,0,0.329268292682927,Singlet,Singlet,0.329268292682927,Singlet,Singlet
Cell_1558,Cell,1307,657,2,2,0.0792682926829268,Singlet,Singlet,0.0792682926829268,Singlet,Singlet
Cell_1559,Cell,529,363,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_1560,Cell,1944,867,0,0,0.198170731707317,Singlet,Singlet,0.198170731707317,Singlet,Singlet
Cell_1561,Cell,6777,1650,5,5,0.332317073170732,Singlet,Singlet,0.332317073170732,Singlet,Singlet
Cell_1562,Cell,7751,1792,5,5,0.365853658536585,Doublet,Doublet,0.365853658536585,Doublet,Doublet
Cell_1563,Cell,3504,1190,0,0,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_1564,Cell,552,395,4,4,0.0396341463414634,Singlet,Singlet,0.0396341463414634,Singlet,Singlet
Cell_1565,Cell,846,508,4,4,0.0457317073170732,Singlet,Singlet,0.0457317073170732,Singlet,Singlet
Cell_1566,Cell,1559,815,6,6,0.25609756097561,Singlet,Singlet,0.25609756097561,Singlet,Singlet
Cell_1567,Cell,4862,1433,5,5,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_1568,Cell,960,554,0,0,0.0762195121951219,Singlet,Singlet,0.0762195121951219,Singlet,Singlet
Cell_1569,Cell,1751,803,2,2,0.152439024390244,Singlet,Singlet,0.152439024390244,Singlet,Singlet
Cell_1570,Cell,4948,1412,5,5,0.289634146341463,Singlet,Singlet,0.289634146341463,Singlet,Singlet
Cell_1571,Cell,1222,618,0,0,0.0823170731707317,Singlet,Singlet,0.0823170731707317,Singlet,Singlet
Cell_1572,Cell,2875,1104,1,1,0.152439024390244,Singlet,Singlet,0.152439024390244,Singlet,Singlet
Cell_1573,Cell,4109,1339,5,5,0.292682926829268,Singlet,Singlet,0.292682926829268,Singlet,Singlet
Cell_1574,Cell,3117,1159,5,5,0.164634146341463,Singlet,Singlet,0.164634146341463,Singlet,Singlet
Cell_1575,Cell,2148,910,2,2,0.179878048780488,Singlet,Singlet,0.179878048780488,Singlet,Singlet
Cell_1576,Cell,703,440,4,4,0.0365853658536585,Singlet,Singlet,0.0365853658536585,Singlet,Singlet
Cell_1577,Cell,3513,1221,5,5,0.222560975609756,Singlet,Singlet,0.222560975609756,Singlet,Singlet
Cell_1578,Cell,1307,719,7,7,0.195121951219512,Singlet,Singlet,0.195121951219512,Singlet,Singlet
Cell_1579,Cell,329,228,4,4,0.00914634146341463,Singlet,Singlet,0.00914634146341463,Singlet,Singlet
Cell_1580,Cell,775,441,3,3,0.0457317073170732,Singlet,Singlet,0.0457317073170732,Singlet,Singlet
Cell_1581,Cell,634,397,4,4,0.0396341463414634,Singlet,Singlet,0.0396341463414634,Singlet,Singlet
Cell_1582,Cell,1807,891,7,7,0.24390243902439,Singlet,Singlet,0.24390243902439,Singlet,Singlet
Cell_1583,Cell,601,395,4,4,0.0365853658536585,Singlet,Singlet,0.0365853658536585,Singlet,Singlet
Cell_1584,Cell,423,304,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
